empty_date,empty_desc,announcement_date,announcement_desc,event_date,event_desc
,,22/01/2020,Statement from the Department of Health and Social Care (DHSC) and Public Health England (PHE) on the coronavirus situation in Wuhan,22/01/2020,Risk level to the British public moved from ‘very low’ to ‘low; enhanced monitoring of all direct flights from Wuhan to the UK 
,,24/01/2020,"Chief Medical Officer (CMO) for England, Professor Chris Whitty, on Wuhan novel coronavirus: risk remains low, UK has ""excellent readiness against infectious diseases""",24/01/2020,"Public health hub will be set up in Heathrow, all airports in the UK are to make written guidance available for unwell travellers"
27/01/2020,"Foreign & Commonwealth Office (FCO/ Foreign Office) update for British nationals in Hubei Province: ""working to make an option available for British nationals to leave""",28/01/2020,FCO advises against all but essential travel to mainland China,31/01/2020,Plane evacuating Britons from Wuhan arrives at RAF Brize Norton (14 day passenger quarantine at specialist Merseyside hospital)
,,27/01/2020,"Secretary of State for Health and Social Care Matt Hancock updated Parliament on Wuhan novel coronavirus: no confirmed UK cases, working with WHO",27/01/2020,Anyone in the UK who has returned from Wuhan in the last 14 days is asked to self-isolate; asking Britons to notify NHS (111/GP) if symptoms appear
30/01/2020,"4 UK Chief Medical Officers: advise govt to increase risk level from low to moderate, governments to escalate planning and preparation in case of a more widespread outbreak",,,,
,,,,02/02/2020,Coronavirus public information campaign launched across the UK (Catch it. Bin it. Kill it.)
,,03/02/2020,Govt pledges £20m to fund vaccines for coronavirus and other infectious diseases,,
,,04/02/2020,FCO advises against 'all but essential' travel to China,,
,,04/02/2020,Second evacuation plane to depart Wuhan on Saturday 8 February 2020 UK time (Sunday in Wuhan),08/02/2020,Second evacuation plain departs Wuhan
,,,,07/02/2020,PHE novel coronavirus diagnostic test rolled out across UK
,,10/02/2020,Health Secretary announces strengthened legal powers for NHS staff to bolster public health protections against coronavirus,10/02/2020,The Health Protection (Coronavirus) Regulations 2020 to keep individuals in isolation (risk)
,,11/02/2020,WHO names the novel coronavirus SARS-CoV-2 and disease from the virus COVID-19,,
,,11/02/2020,DHSC is evaluating the potential impact of coronavirus on the supply of medicines and medical goods (no current medicine shortages),,
18/02/2020,FCO is working to organise a flight back to the UK for British nationals on the Diamond Princess in Japan,20/02/2020,Foreign Secretary: Diamond Princess evacuation flight organised,22/02/2020,Diamond Princess evacuation flight lands in the UK
,,,,26/02/2020,Public Health England (PHE) and  NHS: new surveillance system to detect cases of COVID-19
26/02/2020,"Health Secretary's statement to Parliament; expecting more cases, testing people and 4-part plan: Contain. Delay. Research and Mitigate.",02/03/2020,"Meeting of the government emergency COBR committee (chaired by PM) to discuss, finalise and sign off a battle plan",03/03/2020,UK Coronavirus action plan launched
,,03/03/2020,UK govt's first press conference on COVID-19,,
,,,,04/03/2020,Public information campaign with focus on 20 seconds handwashing is launched
